14.476,18.433,22.047,25.509,28.887,32.212,35.5,38.762,42.004,45.232,48.447,51.653,54.852,58.044,61.23,64.412,67.59,70.765,73.937,77.107,80.274,83.439,86.603,89.765,92.925,96.084,99.243,102.4,105.56,108.71,111.87,115.02,118.17,121.33,124.48,127.63,130.78,133.93,137.08,140.23,143.38,146.53,149.68,152.83,155.97,159.12,162.27,165.42,168.56,171.71,174.86,178.01,181.15,184.3,187.44,190.59,193.74,196.88,200.03,203.17,206.32,209.46,212.61,215.75,218.9,222.04,225.19,228.33,231.48,234.62,237.77,240.91,244.05,247.2,250.34,253.49,256.63,259.77,262.92,266.06,269.21,272.35,275.49,278.64,281.78,284.92,288.07,291.21,294.35,297.5,300.64,303.78,306.93,310.07,313.21,316.36,319.5,322.64,325.79,328.93
15.59,19.616,23.276,26.773,30.179,33.526,36.834,40.112,43.368,46.608,49.835,53.05,56.258,59.457,62.651,65.84,69.024,72.204,75.381,78.555,81.727,84.896,88.064,91.229,94.393,97.555,100.72,103.88,107.04,110.19,113.35,116.51,119.66,122.82,125.97,129.12,132.28,135.43,138.58,141.73,144.88,148.03,151.18,154.33,157.48,160.63,163.78,166.93,170.08,173.22,176.37,179.52,182.67,185.81,188.96,192.11,195.25,198.4,201.55,204.69,207.84,210.99,214.13,217.28,220.42,223.57,226.71,229.86,233,236.15,239.29,242.44,245.58,248.73,251.87,255.02,258.16,261.31,264.45,267.6,270.74,273.88,277.03,280.17,283.32,286.46,289.6,292.75,295.89,299.03,302.18,305.32,308.47,311.61,314.75,317.9,321.04,324.18,327.33,330.47
16.698,20.79,24.495,28.027,31.46,34.83,38.156,41.451,44.722,47.974,51.212,54.438,57.654,60.862,64.063,67.258,70.449,73.635,76.817,79.996,83.172,86.345,89.517,92.686,95.853,99.019,102.18,105.35,108.51,111.67,114.83,117.99,121.14,124.3,127.46,130.61,133.77,136.92,140.07,143.23,146.38,149.53,152.68,155.83,158.98,162.13,165.28,168.43,171.58,174.73,177.88,181.03,184.18,187.33,190.47,193.62,196.77,199.92,203.06,206.21,209.36,212.5,215.65,218.8,221.94,225.09,228.24,231.38,234.53,237.67,240.82,243.96,247.11,250.25,253.4,256.54,259.69,262.83,265.98,269.12,272.27,275.41,278.56,281.7,284.85,287.99,291.14,294.28,297.42,300.57,303.71,306.86,310,313.14,316.29,319.43,322.58,325.72,328.86,332.01
17.801,21.956,25.705,29.271,32.731,36.124,39.469,42.78,46.066,49.331,52.58,55.816,59.041,62.257,65.466,68.668,71.865,75.057,78.244,81.428,84.609,87.787,90.962,94.135,97.306,100.48,103.64,106.81,109.97,113.14,116.3,119.46,122.62,125.78,128.94,132.09,135.25,138.41,141.56,144.72,147.87,151.02,154.18,157.33,160.48,163.63,166.78,169.93,173.09,176.24,179.39,182.54,185.68,188.83,191.98,195.13,198.28,201.43,204.58,207.72,210.87,214.02,217.17,220.31,223.46,226.61,229.75,232.9,236.05,239.19,242.34,245.49,248.63,251.78,254.92,258.07,261.21,264.36,267.51,270.65,273.8,276.94,280.09,283.23,286.38,289.52,292.67,295.81,298.95,302.1,305.24,308.39,311.53,314.68,317.82,320.96,324.11,327.25,330.4,333.54
18.9,23.116,26.907,30.506,33.993,37.408,40.773,44.101,47.4,50.678,53.939,57.185,60.419,63.644,66.861,70.07,73.273,76.471,79.664,82.854,86.039,89.222,92.401,95.578,98.753,101.93,105.1,108.27,111.43,114.6,117.76,120.93,124.09,127.25,130.41,133.57,136.73,139.89,143.04,146.2,149.36,152.51,155.67,158.82,161.97,165.13,168.28,171.43,174.58,177.73,180.89,184.04,187.19,190.34,193.49,196.64,199.79,202.94,206.08,209.23,212.38,215.53,218.68,221.83,224.97,228.12,231.27,234.42,237.56,240.71,243.86,247,250.15,253.3,256.44,259.59,262.74,265.88,269.03,272.17,275.32,278.46,281.61,284.76,287.9,291.05,294.19,297.34,300.48,303.63,306.77,309.92,313.06,316.21,319.35,322.5,325.64,328.78,331.93,335.07
19.994,24.269,28.102,31.733,35.247,38.684,42.068,45.412,48.726,52.017,55.289,58.546,61.79,65.023,68.247,71.464,74.674,77.878,81.077,84.271,87.462,90.649,93.833,97.014,100.19,103.37,106.54,109.72,112.89,116.05,119.22,122.39,125.55,128.72,131.88,135.04,138.2,141.36,144.52,147.68,150.84,153.99,157.15,160.31,163.46,166.61,169.77,172.92,176.08,179.23,182.38,185.53,188.69,191.84,194.99,198.14,201.29,204.44,207.59,210.74,213.89,217.04,220.19,223.34,226.48,229.63,232.78,235.93,239.08,242.22,245.37,248.52,251.67,254.81,257.96,261.11,264.25,267.4,270.55,273.69,276.84,279.99,283.13,286.28,289.42,292.57,295.72,298.86,302.01,305.15,308.3,311.44,314.59,317.73,320.88,324.02,327.17,330.31,333.46,336.6
21.085,25.417,29.291,32.954,36.493,39.953,43.355,46.716,50.045,53.348,56.632,59.899,63.152,66.394,69.627,72.851,76.067,79.278,82.482,85.682,88.878,92.07,95.258,98.444,101.63,104.81,107.98,111.16,114.33,117.51,120.68,123.84,127.01,130.18,133.34,136.51,139.67,142.83,145.99,149.15,152.31,155.47,158.63,161.79,164.94,168.1,171.25,174.41,177.56,180.72,183.87,187.03,190.18,193.33,196.48,199.64,202.79,205.94,209.09,212.24,215.39,218.54,221.69,224.84,227.99,231.14,234.29,237.44,240.59,243.73,246.88,250.03,253.18,256.33,259.47,262.62,265.77,268.92,272.06,275.21,278.36,281.5,284.65,287.8,290.94,294.09,297.24,300.38,303.53,306.67,309.82,312.97,316.11,319.26,322.4,325.55,328.69,331.84,334.98,338.13
22.172,26.56,30.473,34.167,37.733,41.214,44.635,48.012,51.355,54.672,57.967,61.245,64.508,67.759,70.999,74.23,77.454,80.671,83.881,87.087,90.288,93.485,96.678,99.867,103.05,106.24,109.42,112.6,115.78,118.95,122.12,125.3,128.47,131.63,134.8,137.97,141.13,144.3,147.46,150.62,153.78,156.94,160.1,163.26,166.42,169.58,172.74,175.89,179.05,182.2,185.36,188.51,191.67,194.82,197.98,201.13,204.28,207.43,210.59,213.74,216.89,220.04,223.19,226.34,229.49,232.64,235.79,238.94,242.09,245.24,248.39,251.54,254.69,257.84,260.98,264.13,267.28,270.43,273.58,276.72,279.87,283.02,286.17,289.31,292.46,295.61,298.75,301.9,305.05,308.19,311.34,314.49,317.63,320.78,323.92,327.07,330.22,333.36,336.51,339.65
23.257,27.698,31.65,35.375,38.965,42.468,45.908,49.301,52.659,55.988,59.295,62.584,65.856,69.116,72.364,75.603,78.834,82.057,85.274,88.485,91.691,94.893,98.091,101.28,104.48,107.66,110.85,114.03,117.21,120.39,123.57,126.74,129.91,133.08,136.25,139.42,142.59,145.76,148.92,152.09,155.25,158.41,161.57,164.74,167.9,171.06,174.21,177.37,180.53,183.69,186.84,190,193.15,196.31,199.46,202.62,205.77,208.93,212.08,215.23,218.38,221.54,224.69,227.84,230.99,234.14,237.29,240.44,243.59,246.74,249.89,253.04,256.19,259.34,262.49,265.64,268.79,271.94,275.09,278.23,281.38,284.53,287.68,290.83,293.97,297.12,300.27,303.42,306.56,309.71,312.86,316,319.15,322.3,325.44,328.59,331.74,334.88,338.03,341.17
24.338,28.832,32.822,36.576,40.192,43.716,47.174,50.584,53.956,57.298,60.617,63.916,67.198,70.467,73.723,76.97,80.207,83.437,86.66,89.877,93.089,96.296,99.498,102.7,105.89,109.08,112.27,115.46,118.64,121.82,125,128.18,131.36,134.53,137.7,140.87,144.04,147.21,150.38,153.55,156.71,159.88,163.04,166.2,169.37,172.53,175.69,178.85,182.01,185.16,188.32,191.48,194.64,197.79,200.95,204.1,207.26,210.41,213.57,216.72,219.88,223.03,226.18,229.33,232.49,235.64,238.79,241.94,245.09,248.24,251.39,254.55,257.7,260.85,264,267.15,270.29,273.44,276.59,279.74,282.89,286.04,289.19,292.34,295.48,298.63,301.78,304.93,308.08,311.22,314.37,317.52,320.67,323.81,326.96,330.11,333.25,336.4,339.55,342.69
